ID	ZT00	ZT03	ZT06	ZT09	ZT12	ZT15	ZT18	ZT21
FBgn0003429	12.322	21.519	5.09	37.685	31.705	24.41	52.121	34.635
FBgn0003460	10.468	11.759	4.555	14.322	14.896	9.266	11.751	10.161
FBgn0003997	3.634	5	4.892	2.443	3.134	0.436	4.285	3.909
FBgn0004168	7.413	7.254	0.324	11.142	8.396	2.57	8.422	7.486
FBgn0004244	6.738	8.248	0.396	9.51	7.958	8.824	14.88	10.296
FBgn0004244	12.725	16.231	0.658	13.582	14.093	13.009	18.337	14.889
FBgn0004244	12.713	16.231	0.658	13.525	14.093	13.009	18.318	14.883
FBgn0004611	19.847	24.279	10.09	29.294	25.528	5.058	29.968	25.578
FBgn0004611	20.216	24.497	10.209	29.371	25.817	5.206	30.402	25.696
FBgn0004618	21.449	24.988	0.101	34.737	26.249	9.831	23.111	20.619
FBgn0004864	8.474	8.611	7.043	10.326	9.068	2.818	9.64	8.502
FBgn0005536	21.8	22.43	16.582	26.799	24.401	8.327	24.633	24.435
FBgn0005536	24.407	25.252	18.589	29.975	27.322	9.285	27.498	27.244
FBgn0005536	24.178	25.032	19.14	28.154	26.99	11.019	26.7	27.064
FBgn0005536	22.624	23.409	17.968	29.263	25.639	1.302	26.712	26.431
FBgn0005631	5.07	6.61	2.794	8.612	7.842	2.92	9.222	7.613
FBgn0005631	4.92	6.419	2.694	8.384	7.657	2.843	8.939	7.403
FBgn0011205	46.197	38.321	69.35	39.333	41.28	38.438	36.887	48.409
FBgn0011205	53.68	43.715	82.436	44.403	48.476	31.306	43.227	57.108
FBgn0011205	50.998	42.206	74.811	43.988	45.492	43.215	40.501	53.122
FBgn0011604	17.132	17.303	16.795	18.264	17.714	6.881	19.265	17.014
FBgn0011604	16.685	16.883	16.324	17.727	17.233	6.678	18.699	16.529
FBgn0011640	60.321	64.834	50.929	78.794	60.615	37.767	60.478	59.768
FBgn0011640	64.208	69.045	54.487	84.969	64.562	33.333	64.624	63.799
FBgn0011640	53.175	57.772	44.542	67.495	53.933	32.24	53.448	52.643
FBgn0011656	22.913	20.633	13.258	23.869	18.527	4.912	19.85	19.382
FBgn0011656	22.329	20.128	13.729	23.67	18.276	5.14	19.289	19.222
FBgn0011656	32.053	27.722	22.918	36.529	25.118	0.745	27.087	27.337
FBgn0011656	22.068	18.948	14.456	22.734	17.081	3.464	17.89	18.009
FBgn0011656	31.972	27.608	22.768	36.291	25.069	0.74	26.911	27.297
FBgn0012344	46.248	49.85	2.356	54.995	50.238	17.798	56.688	47.672
FBgn0014020	196.024	191.853	221.887	148.005	181.832	125.608	153.834	163.65
FBgn0014395	0.916	1.115	8.162	1.077	1.09	2.116	0.687	0.698
FBgn0014396	109.085	42.851	172.087	22.481	20.954	57.738	290.916	258.711
FBgn0014396	111.678	44.098	176.44	23.054	21.47	59.011	297.715	264.873
FBgn0014396	65.325	25.965	102.821	15.368	13.149	4.165	222.555	187.085
FBgn0015221	975.504	952.324	1407.329	734.529	906.245	809.04	650.894	734.833
FBgn0015221	997.53	972.3	1440.864	751.221	925.705	828.409	664.613	750.69
FBgn0015269	5.414	7.015	3.728	7.052	6.122	0.483	10.795	7.26
FBgn0015269	6.895	9.236	4.306	7.657	7.584	3.168	11.63	8.078
FBgn0015379	22.405	24.067	29.741	36.401	29.342	51.088	26.298	26.908
FBgn0015544	8.163	8.197	11.39	9.007	8.402	10.93	9.21	7.054
FBgn0016076	41.392	27.568	109.343	42.623	21.197	55.37	198.321	115.701
FBgn0016076	45.409	29.813	120.747	46.953	23.25	45.704	217.986	126.677
FBgn0016694	45.93	39.05	69.678	39.493	32.778	47.674	139.666	97.888
FBgn0016694	47.878	41.024	69.373	41.783	34.378	55.02	140.94	100.171
FBgn0016694	58.715	43.618	102.182	47.091	35.207	44.104	215.464	141.671
FBgn0020445	3.031	4.745	2.835	5.472	3.875	1.955	4.641	3.506
FBgn0020445	2.556	3.76	2.229	4.355	3.163	1.222	4.038	2.88
FBgn0022382	29.508	37.871	36.66	41.38	33.938	1.555	41.236	39.878
FBgn0023094	28.797	27.397	23.561	25.481	25.658	21.499	31.528	32.515
FBgn0023178	143.131	168.303	3.661	201.321	158.846	579.274	158.176	142.727
FBgn0023407	14.4	14.289	8.094	14.634	13.44	3.74	14.646	15.508
FBgn0023416	11.703	14.531	0.93	13.996	13.022	0.225	19.903	14.423
FBgn0023416	15.133	18.905	1.087	17.536	16.859	4.354	22.076	17.312
FBgn0024150	3.923	4.745	4.363	5.195	4.311	1.195	5.227	4.573
FBgn0024150	3.185	3.786	3.526	4.473	3.632	0.925	4.474	4.081
FBgn0025777	40.146	41.023	17.431	40.216	33.967	4.39	39.405	40.417
FBgn0025777	34.845	36.96	15.341	33.456	29.251	12.591	35.128	35.385
FBgn0025777	44.695	45.384	20.743	45.408	37.227	1.495	44.1	44.825
FBgn0025777	39.995	40.862	17.425	40.165	33.756	4.407	39.165	40.197
FBgn0026083	8.488	9.536	7.185	11.196	10.731	2.588	13	10.463
FBgn0026083	8.496	9.546	7.192	11.207	10.741	2.591	13.013	10.474
FBgn0026083	7.407	7.812	7.388	11.42	9.795	1.52	13.026	10.131
FBgn0026083	7.525	7.968	7.352	10.978	9.746	1.753	12.978	10.03
FBgn0026086	9.715	10.224	5.773	13.713	9.866	4.74	14.745	12.248
FBgn0026086	11.011	12.349	6.022	16.352	11.599	2.527	16.992	14.111
FBgn0026086	11.133	12.498	6.143	16.582	11.753	2.592	17.362	14.322
FBgn0026086	9.495	12.404	3.457	11.658	10.848	7.27	13.835	12.112
FBgn0026086	6.87	7.321	4.056	9.816	6.883	3.159	10.738	8.762
FBgn0026086	9.917	10.946	5.387	14.839	10.201	2.459	15.198	12.24
FBgn0026401	16.001	20.119	8.562	13.428	17.786	13.344	21.549	16.971
FBgn0026401	15.079	19.118	8.143	12.913	16.965	12.829	20.67	16.243
FBgn0027109	77.942	70.198	8.339	81.121	76.812	195.917	70.217	66.929
FBgn0027109	72.742	66.276	7.998	69.02	71.598	207.138	67.061	65.811
FBgn0027109	77.679	70.012	8.335	80.839	76.478	195.167	71.013	67.33
FBgn0027932	67.601	68.254	157.084	84.128	89.959	60.712	72.718	67.278
FBgn0028622	34.724	28.6	20.112	32.031	29.001	16.131	19.278	23.842
FBgn0028734	13.947	16.944	21.026	15.952	17.103	6.243	19.254	17.002
FBgn0028734	16.506	19.14	26.91	19.047	20.283	1.936	24.034	20.756
FBgn0028734	14.687	16.571	22.915	17.653	17.348	2.115	21.482	18.848
FBgn0028734	13.551	15.693	20.012	15.281	16.133	5.832	18.844	16.523
FBgn0029823	542.964	572.185	274.289	188.421	275.351	257.483	263.988	247.894
FBgn0030228	17.227	18.017	27.562	15.657	16.261	4.326	15.679	14.875
FBgn0030555	51.096	49.551	6.864	54.9	49.096	19.958	62.692	58.257
FBgn0031414	14.991	20.174	0.956	27.002	20.92	1.55	31.565	24.755
FBgn0031634	3.943	3.987	0.642	2.982	3.771	2.767	4.32	3.938
FBgn0031634	3.859	3.902	0.628	2.918	3.69	2.707	4.227	3.872
FBgn0031634	3.691	3.732	0.601	2.791	3.53	2.59	4.07	3.704
FBgn0031634	3.481	3.508	0.547	2.542	3.3	2.497	3.829	3.486
FBgn0031759	20.532	21.051	14.383	26.983	21.801	2.618	27.913	25.672
FBgn0031759	20.497	21.024	14.358	26.937	21.764	2.614	27.865	25.628
FBgn0031759	20.585	21.071	14.377	27.057	21.853	2.609	27.904	25.793
FBgn0032048	72.44	81.93	7.916	78.889	82.6	66.378	76.379	71.442
FBgn0032840	57.499	68.921	2.347	64.605	65.733	31.637	69.356	62.162
FBgn0033257	2.152	1.89	3.656	2.717	3.298	2.911	1.588	2.061
FBgn0033558	6.334	6.554	1.207	12.674	9.409	2.86	9.915	7.85
FBgn0034136	3.988	4.886	1.177	4.453	4.03	3.125	5.695	4.889
FBgn0034911	3.057	4.094	0.718	6.236	4.346	0	6.969	5.295
FBgn0035023	24.632	32.524	6.029	26.986	29.179	16.333	25.216	24.868
FBgn0035023	23.262	29.017	6.42	24.502	27.324	12.827	21.437	23.048
FBgn0035802	14.068	17.482	16.165	18.286	15.744	3.86	21.766	20.079
FBgn0035802	21.781	25.704	22.858	27.678	23.249	7.496	28.531	26.744
FBgn0035934	0.971	1.78	2.188	3.162	1.778	1.611	1.731	1.071
FBgn0035934	0.995	1.817	2.124	3.16	1.741	1.61	1.75	1.07
FBgn0036340	19.756	20.034	11.726	26.415	21.303	10.998	23.704	21.091
FBgn0036927	117.975	135.846	39.06	125.205	136.777	138.301	143.038	122.267
FBgn0036927	151.458	174.09	50.719	160.928	175.776	176.342	183.897	157.21
FBgn0038118	0.74	0.673	2.178	1.348	0.733	0.773	0.742	0.681
FBgn0038197	53.191	46.254	36.92	28.921	32.371	10.118	29.259	34.088
FBgn0038197	47.157	40.752	32.592	25.326	28.441	8.86	25.772	30.161
FBgn0038197	52.082	44.985	36.027	27.991	31.441	9.84	28.408	33.372
FBgn0038693	31.96	36.314	2.205	40.567	34.841	12.192	42.558	40.18
FBgn0038857	11.27	12.842	19.547	11.676	14.692	32.978	13.362	12.01
FBgn0038870	10.399	11.313	9.855	11.27	12.037	5.746	10.317	10.533
FBgn0039225	2.909	2.913	4.629	1.48	3.2	3.816	2.155	2.368
FBgn0039225	2.615	2.658	4.251	1.457	2.997	3.34	2.026	2.22
FBgn0039298	47.747	32.893	76.032	22.09	37.73	41.556	35.705	83.799
FBgn0039536	29.841	33.101	1.645	41.45	34.097	11.96	41.324	38.571
FBgn0039536	30.033	33.317	1.658	41.801	34.335	12.062	41.557	38.8
FBgn0039536	29.94	33.2	1.651	41.849	34.335	11.989	41.596	38.715
FBgn0040071	14.782	16.586	8.513	21.606	16.375	3.458	17.218	18.229
FBgn0040382	485.093	481.064	161.492	533.606	458.627	237.687	443.71	477.516
FBgn0041188	36.821	35.415	26.478	46.966	38.035	3.484	40.058	41.089
FBgn0041188	38.373	38.033	26.512	48.088	39.744	3.863	41.407	42.659
FBgn0041723	15.586	16.981	1.481	20.953	16.387	3.159	16.716	17.25
FBgn0051992	53.897	61.538	31.51	64.075	59.352	11.343	79.003	68.704
FBgn0051992	52.579	60.186	30.849	62.89	57.911	11.079	77.342	67.281
FBgn0051992	40.739	46.638	23.048	46.69	44.571	21.462	58.306	50.924
FBgn0051992	52.621	60.279	30.882	63.115	57.977	11.065	77.386	67.347
FBgn0051992	53.492	61.021	31.222	63.489	58.904	11.239	78.37	68.124
FBgn0053527	14.066	11.535	1.666	17.019	12.77	60.377	19.395	14.805
FBgn0053988	3.864	5.446	0.778	8.423	6.999	1.211	12.785	9.157
FBgn0259168	9.871	9.823	8.667	7.682	7.249	3.99	7.69	7.579
FBgn0259938	13.539	11.815	18.89	16.117	14.993	7.495	22.945	18.791
FBgn0259938	14.507	12.827	20.325	17.405	16.325	7.107	24.807	20.336
FBgn0259938	14.697	12.938	20.557	17.665	16.542	7.196	25.017	20.449
FBgn0260753	16.044	16.812	11.152	20.04	20.557	5.921	20.405	20.459
FBgn0260753	18.135	18.947	12.501	22.922	23.054	8.219	23.094	23.119
FBgn0260794	14.224	14.878	30.468	18.03	17.482	5.385	20.963	16.134
FBgn0260794	11.595	13.942	30.42	16.147	14.227	1.779	20.788	16.072
FBgn0260794	10.931	13.2	28.643	15.32	13.474	1.672	19.818	15.343
FBgn0260794	11.058	13.335	29.001	15.478	13.626	1.695	20.034	15.49
FBgn0260794	13.466	14.146	28.948	17.227	16.679	5.091	20.141	15.507
FBgn0260794	10.945	13.17	28.637	15.326	13.459	1.673	19.802	15.328
FBgn0261268	22.627	24.164	48.645	23.808	23.689	10.592	23.662	21.974
FBgn0261268	25.178	27.006	61.293	26.492	27.103	3.07	27.399	24.886
FBgn0261268	21.658	23.424	64.166	22.843	23.228	2.822	23.446	21.48
FBgn0261617	4.369	5.773	4.756	7.125	6.311	3.81	10.222	7.758
FBgn0261617	2.49	3.255	4.472	5.961	4.479	1.545	8.974	6.146
FBgn0261710	18.472	18.018	17.455	29.611	22.75	4.449	29.503	25.907
FBgn0261808	69.41	42.386	44.093	24.793	19.504	23.518	31.756	60.909
FBgn0261808	54.374	32.859	33.736	19.321	15.065	18.109	25.056	47.619
FBgn0261808	77.411	46.251	47.629	26.845	20.832	24.874	34.205	66.698
FBgn0261953	8.699	9.139	0.189	7.758	8.485	2.365	7.813	8.684
FBgn0261953	7.467	8.329	0.155	6.807	7.697	1.941	7.481	8.131
FBgn0262103	5.305	6.713	4.456	10.768	7.7	1.282	10.692	9.566
FBgn0262593	10.375	13.135	2.875	17.683	14.211	0.856	17.86	14.702
FBgn0262593	10.504	13.393	2.826	18.19	14.365	1.058	18.245	15.046
FBgn0262593	6.691	8.219	1.718	10.029	9.4	1.186	11.753	9.606
FBgn0262866	5.656	6.294	2.924	7.615	5.961	3.465	6.953	5.818
FBgn0262866	7.24	8.27	4.44	11.313	7.823	2.905	8.85	7.743
FBgn0263116	7.899	8.929	1.243	9.449	7.017	4.456	7.95	10.339
FBgn0263116	8.062	9.259	1.256	10.268	7.278	4.391	8.421	10.687
FBgn0263220	20.008	24.553	1.964	22.566	20.4	12.581	30.962	27.018
FBgn0263220	21.79	25.086	2.365	30.322	21.518	12.819	41.349	33.804
FBgn0263220	20.815	24.323	2.341	28.902	19.623	11.304	37.528	31.64
FBgn0263397	28.657	31.388	6.237	41.625	31.432	9.08	45.547	40.509
FBgn0263397	56.817	60.732	14.912	74.651	60.024	14.591	72.938	69.977
FBgn0263397	13.066	15.062	2.117	21.708	15.378	4.396	27.986	23.523
FBgn0263397	6.46	7.304	1.848	8.365	6.883	0.231	9.995	10.005
FBgn0263490	5.904	6.782	4.244	7.887	6.366	2.469	9.028	8.057
FBgn0264006	9.528	11.087	0.408	11.993	11.366	5.967	15.471	12.237
FBgn0264006	9.53	11.078	0.409	11.957	11.38	5.924	15.446	12.229
FBgn0264006	9.453	11.009	0.404	11.885	11.286	5.913	15.402	12.161
FBgn0264492	46.189	50.95	46.561	40.551	50.962	46.997	55.625	50.802
FBgn0264492	39.149	43.158	39.088	34.334	43.089	40.423	47.275	42.917
FBgn0265042	12.428	11.693	27.854	18.546	15.923	6.73	20.738	16.576
FBgn0265042	14.076	13.296	33.419	21.194	17.79	7.591	22.797	18.168
FBgn0265042	11.127	10.502	26.37	16.934	14.081	6.96	17.993	14.299
FBgn0265598	16.612	18.028	4.424	23.812	15.79	3.306	21.912	20.737
FBgn0265784	48.313	49.038	28.929	45.286	45.122	6.439	46.924	42.258
FBgn0265784	44.659	44.661	26.559	42.077	40.286	5.512	42.115	38.24
FBgn0265784	44.171	44.257	26.358	41.113	40.918	5.699	42.532	38.457
FBgn0266137	5.544	5.83	0.24	7.592	5.392	2.964	6.278	5.64
FBgn0266418	7.314	9.098	3.256	10.364	9.481	3.362	12.458	11.253
FBgn0266418	7.023	8.672	3.1	9.866	9.054	3.201	11.893	10.745
