ID	ZT00	ZT06	ZT12	ZT18
FBgn0031634	0.856	0.38	0.677	0.773
FBgn0031759	5.11	4.379	4.316	4.501
FBgn0031759	5.118	4.386	4.323	4.517
FBgn0031759	5.112	4.386	4.332	4.516
FBgn0032048	1.788	0.361	0.596	0.543
FBgn0032840	0.834	0.432	0.535	0.536
FBgn0033257	9.695	8.264	7.637	4.62
FBgn0033558	0.464	0.506	0.366	0.693
FBgn0034136	1.055	0.76	0.724	1.058
FBgn0034911	0.327	0.066	0.201	0.458
FBgn0035023	47.851	88.648	35.488	63.949
FBgn0035023	51.499	82.631	42.049	59.874
FBgn0035802	16.729	10.559	10.253	7.4
FBgn0035802	11.549	6.167	6.217	4.438
FBgn0035934	1.188	0.031	0.152	0.368
FBgn0035934	1.205	0.031	0.163	0.369
FBgn0036340	4.206	5.116	4.813	4.763
FBgn0036927	25.708	2.763	3.501	3.416
FBgn0036927	19.789	2.161	2.771	2.645
FBgn0038118	0.943	1.055	0.689	1.162
FBgn0038197	44.672	38.686	27.762	33.814
FBgn0038197	39.821	34.243	24.541	29.856
FBgn0038197	43.984	37.827	27.153	33.071
FBgn0038693	0.96	0.761	0.659	1.177
FBgn0038857	9.681	12.431	13.825	11.988
FBgn0038870	5.098	5.989	5.206	4.914
FBgn0039225	5.134	4.389	5.102	4.276
FBgn0039225	4.493	3.827	4.555	3.742
FBgn0039298	59.616	0.572	3.928	0.676
FBgn0039536	0.382	0.253	0.306	0.455
FBgn0039536	0.378	0.255	0.308	0.464
FBgn0039536	0.377	0.259	0.308	0.467
FBgn0040071	7.312	6.34	5.997	5.928
FBgn0040382	40.298	30.999	31.296	25.4
FBgn0041188	10.766	9.434	10.32	8.023
FBgn0041188	12.502	11.191	12.062	9.034
FBgn0041723	0.562	0.298	0.424	0.625
FBgn0051992	26.676	32.314	26.555	26.328
FBgn0051992	26.97	32.795	26.972	26.733
FBgn0051992	27.219	33.089	27.221	26.952
FBgn0051992	23.301	28.065	23.708	23.314
FBgn0051992	26.655	32.31	26.56	26.298
FBgn0053527	2.048	1.972	2.81	3.146
FBgn0053988	0.167	0.107	0.267	0.305
FBgn0259168	4.626	4.152	4.518	4.034
FBgn0259938	22.102	20.307	20.653	20.156
FBgn0259938	23.093	21.014	20.672	20.698
FBgn0259938	23.491	21.401	21.066	21.002
FBgn0260753	19.643	19.291	12.831	14.08
FBgn0260753	22.219	21.827	14.388	15.89
FBgn0260794	14.005	14.317	11.114	12.971
FBgn0260794	12.934	12.864	9.531	11.842
FBgn0260794	14.371	14.952	11.551	13.517
FBgn0260794	13.433	13.604	10.037	12.471
FBgn0260794	13.077	13.011	9.642	11.983
FBgn0260794	12.954	12.887	9.549	11.854
FBgn0261268	12.552	14.035	13.932	20.814
FBgn0261268	11.314	12.614	12.601	19.855
FBgn0261268	13.029	14.212	15.414	19.534
FBgn0261617	1.816	1.094	0.942	1.243
FBgn0261617	3.274	2.601	2.193	2.47
FBgn0261710	6.327	6.267	6.071	6.767
FBgn0261808	60.4	66.4	60.099	92.717
FBgn0261808	85.07	94.653	86.12	131.8
FBgn0261808	77.35	85.502	77.304	118.898
FBgn0261953	0.362	0.023	0.273	0.361
FBgn0261953	0.386	0.038	0.224	0.474
FBgn0262103	3.755	2.935	2.757	3.023
FBgn0262593	1.618	1.223	1.365	1.512
FBgn0262593	1.031	0.678	0.664	0.969
FBgn0262593	1.571	1.165	1.334	1.453
FBgn0262866	2.257	2.118	1.988	1.846
FBgn0262866	2.489	2.335	2.519	2.127
FBgn0263116	1.671	1.818	1.088	1.303
FBgn0263116	1.635	1.848	1.088	1.304
FBgn0263220	0.937	0.854	0.958	0.84
FBgn0263220	0.639	0.583	0.727	0.805
FBgn0263220	0.76	0.631	0.801	0.998
FBgn0263397	20.846	25.138	22.903	20.528
FBgn0263397	8.157	9.565	8.849	8.125
FBgn0263397	2.625	3.075	2.67	2.891
FBgn0263397	3.557	4.096	3.315	3.55
FBgn0263490	4.592	2.7	3.371	2.762
FBgn0264006	0.425	0.139	0.301	0.37
FBgn0264006	0.421	0.137	0.298	0.372
FBgn0264006	0.426	0.139	0.302	0.371
FBgn0264492	44.174	55.291	52.222	51.201
FBgn0264492	37.773	47.059	44.663	43.72
FBgn0265042	15.332	3.013	6.663	4.448
FBgn0265042	12.983	2.353	5.524	3.636
FBgn0265042	12.351	2.433	5.311	3.699
FBgn0265598	1.507	1.665	1.394	1.839
FBgn0265784	16.778	15.226	11.786	13.826
FBgn0265784	15.604	14.739	10.894	12.775
FBgn0265784	15.502	14.469	10.658	12.545
FBgn0266137	0.329	0.068	0.244	0.298
FBgn0266418	3.566	3.794	5.074	4.805
FBgn0266418	3.732	3.943	5.302	5.03
