aedes_ID	anopheles_ID	orthotype	OMAgroup
AAEL006322	AGAP005170	1:1	853747
AAEL006312	AGAP005169	1:1	265604
AAEL006310	AGAP005168	1:1	735144
AAEL006320	AGAP003187	1:1	766752
AAEL006314	AGAP003186	1:1	754732
AAEL006315	AGAP002481	1:1	865398
AAEL006313	AGAP002480	1:1	700195
AAEL006321	AGAP002482	1:1	
AAEL006316	AGAP002483	1:1	
AAEL006317	AGAP002484	1:1	509220
AAEL006339	AGAP011031	1:1	844302
AAEL006330	AGAP011030	1:1	549046
AAA99189.1	AGAP011026	1:1	799598
AAEL006348	AGAP011025	1:1	712569
AAEL006340	AGAP010985	1:1	548105
AAEL006341	AGAP010988	1:m	716384
AAEL006341	AGAP012808	1:m	
AAEL006353	AGAP010987	n:m	787087
AAEL006353	AGAP012647	n:m	
AAEL006353	AGAP012697	n:m	
AAEL006359	AGAP010987	n:m	
AAEL006359	AGAP012647	n:m	
AAEL006359	AGAP012697	n:m	787256
AAEL006338	AGAP010987	n:m	
AAEL006338	AGAP012647	n:m	787127
AAEL006338	AGAP012697	n:m	
AAEL006334	AGAP010986	1:m	
AAEL006334	AGAP012648	1:m	787100
AAEL006327	AGAP009551	n:m	
AAEL006327	AGAP009552	n:m	787091
AAEL006327	AGAP009553	n:m	
AAEL006327	AGAP012672	n:m	
AAEL006356	AGAP010984	1:1	776808
AAEL006346	AGAP010983	n:1	
AAEL006346	AGAP010983	n:1	822412
AAEL006343	AGAP011964	1:1	731486
AAEL006331	AGAP011966	1:1	
AAEL006360	AGAP011968	1:1	770505
AAEL006350	AGAP011969	1:1	671918
AAEL006342	AGAP011972	1:1	
AAEL006355	AGAP011974	1:1	554124
AAEL006337	AGAP011975	1:1	
AAEL006328	AGAP011976	1:1	338162
AAEL006349	AGAP011977	1:1	339517
AAEL006377	AAR02426.1	1:1	338447
AAEL006379	AGAP002149	1:1	
AAEL006363	AGAP000954	1:1	849683
AAEL006372	AGAP012302	n:1	771404
AAEL006384	AGAP006485	n:1	
AAEL006378	AGAP006486	1:1	277293
AAEL006368	AGAP006487	n:1	277585
AAEL006365	AGAP006487	n:1	
AAEL006383	AGAP011608	n:1	280579
AAEL006381	AGAP008487	n:1	
AAEL006375	AGAP004054	n:1	
AAEL006380	AGAP008096	n:1	
AAEL006366	AGAP000955	n:1	836684
AAEL006362	AGAP000958	1:1	864012
AAEL006367	AGAP000242	1:1	798687
AAEL006370	AGAP000960	1:1	
AAEL006364	AGAP000241	1:1	784775
AAEL006373	AGAP000240	1:1	547136
AAEL006374	AGAP000478	1:1	547408
AAEL006394	AGAP011095	1:1	
AAEL006390	AGAP001588	1:1	823791
AAEL006386	AGAP010644	1:1	851112
AAEL006389	AGAP012577	1:1	767909
AAEL006397	AGAP010646	1:1	834083
AAEL006393	AAO12092.1	n:m	
AAEL006393	AAL60412.1	n:m	
AAEL006393	AAO12074.1	n:m	
AAEL006387	AAO12092.1	n:m	
AAEL006387	AAL60412.1	n:m	338048
AAEL006387	AAO12074.1	n:m	
AAEL006398	AAO12092.1	n:m	
AAEL006398	AAL60412.1	n:m	
AAEL006398	AAO12074.1	n:m	
AAEL006385	AAO12092.1	n:m	338001
AAEL006385	AAL60412.1	n:m	
AAEL006385	AAO12074.1	n:m	
AAEL006395	AGAP010655	1:1	
AAEL006399	AGAP008275	1:1	810700
AAEL006417	AAL68782.1	n:m	
AAEL006417	AGAP008279	n:m	
AAA29347.1	AAL68782.1	n:m	
AAA29347.1	AGAP008279	n:m	338873
AAEL006426	AGAP008285	1:1	
AAEL006422	AGAP008286	1:1	854465
AAEL006420	AGAP008287	1:1	834069
AAEL006411	AGAP008288	1:1	777232
AAEL006410	AGAP008289	1:1	716473
AAEL006425	AGAP008292	n:m	
AAEL006425	AGAP008293	n:m	558807
AAEL006425	AGAP008294	n:m	
AAEL006425	AGAP008295	n:m	
AAEL006425	AGAP008296	n:m	
AAEL006415	AGAP008297	1:1	490199
AAEL006401	AGAP008298	1:1	843897
AAEL006407	AGAP008299	1:1	693790
AAEL006409	AGAP008942	1:1	547051
AAEL006400	AGAP008300	1:1	822311
AAEL006413	AGAP008941	1:1	817908
AAEL006412	AGAP008940	1:1	788749
AAEL006419	AGAP008935	1:1	814553
AAEL006404	AGAP008936	1:1	755721
AAEL006416	AGAP006798	n:1	
AAEL006428	AGAP006799	n:1	
AAEL006452	AGAP008229	1:1	677333
AAEL006439	AGAP008228	1:1	709077
AAEL006446	AGAP008227	1:1	783549
AAEL006450	AGAP008226	1:1	851136
AAEL006445	AGAP009280	1:1	858635
AAEL006436	AGAP009278	1:1	802162
AAEL006433	AGAP009276	1:1	
AAEL006432	AGAP009274	1:1	549970
AAEL006437	AGAP009943	1:1	
AAEL006441	AGAP009271	1:1	860125
AAEL006438	AGAP008946	1:1	811980
AAEL006435	AGAP008947	1:1	797051
AAEL006449	AGAP008948	1:1	270796
AAEL006474	AGAP010451	1:1	846405
AAEL006454	AAL84182.1	n:1	
AAEL006472	AGAP010490	1:1	516301
AAEL006469	AGAP010491	1:1	862481
AAEL006457	AGAP010492	1:1	657256
AAEL006462	AGAP010493	1:1	553497
AAEL006460	AGAP010494	1:1	845697
AAEL006473	AGAP010496	1:1	548534
AAEL006463	AGAP010497	1:1	736694
AAEL006458	AGAP010499	1:1	786323
AAEL006459	AGAP010500	1:1	276607
AAEL006455	AGAP010503	1:1	542289
AAEL006465	AGAP010504	1:m	
AAEL006465	AGAP010505	1:m	279585
AAEL006456	AGAP000871	1:1	
AAEL006466	AGAP001010	1:1	810361
AAEL006478	AGAP010221	1:1	553851
AAEL006504	AGAP001184	n:1	
AAEL006495	AGAP001184	n:1	
AAEL006487	AGAP001185	1:1	839571
