ID	CT18	CT20	CT22	CT24	CT26	CT28	CT30	CT32	CT34	CT36	CT38	CT40	CT42	CT44	CT46	CT48	CT50	CT52	CT54	CT56	CT58	CT60	CT62	CT64
ENSMUSG00000051331	393.5	377.6	369.3	374	249.3	440.2	416.8	356.6	378.1	448.9	421.5	401.8	380.7	449.8	397.4	374.8	455.6	403.4	359	438.3	400.5	458.3	453.7	412.5
ENSMUSG00000052889	132.1	107.3	107	118.3	109.8	110.8	96.5	111.4	97.3	87.4	101.3	107.6	113.8	95.3	108	99.1	109.4	87.8	167.8	116.2	103.6	158.3	94.2	115.5
ENSMUSG00000052920	220.5	221.5	228.5	248.4	197.9	254.4	241.4	237.2	210.6	257.3	238.1	244.8	232.3	301	273.3	240.2	281	256.4	215.4	258.3	231	284.1	288.8	259
ENSMUSG00000053819	644.1	717.3	793.1	726.6	584.7	790.4	742.8	653.1	596.3	672.7	589.9	684	698.5	826.6	670.5	683.6	769.6	691	712.6	655.8	618.5	725.1	702.1	679.1
ENSMUSG00000054764	23.4	22.5	22.9	23.1	22.3	21	23.2	20	24.4	22.9	23.6	21.7	22.1	22.9	25.1	23.3	25.9	21.9	23.7	23.8	26.5	20	23.7	23.4
ENSMUSG00000055866	467.5	410.4	318.9	217.6	157.7	174.2	353.1	477.8	649.3	686.1	721.8	571	469.1	429.6	324.6	248.3	180.3	269.2	313.9	608.9	670.1	854.1	679.2	463.8
ENSMUSG00000057378	48.4	47.5	47.8	45.3	51.1	47.3	49.8	49.2	53.1	47.8	53.9	48.4	54.1	50.3	54.6	49.1	51	44.1	48.8	53.1	52.4	44	50.1	46.6
ENSMUSG00000057614	631.4	684.3	711.6	797.4	657.1	756	770.1	728.4	696.4	756.9	764.2	677	688	795.9	711.7	732.1	725.4	751.8	677.8	822.4	791.7	888.3	872.8	707.8
ENSMUSG00000057897	161.2	179.2	177.3	194.3	217.3	222.9	202.3	162.4	176.3	171.6	170.5	169.5	157.2	168.8	184.2	190.6	215.5	194.6	207.6	179.5	176.5	153.3	158.9	179.4
ENSMUSG00000059003	29.1	33.2	29.1	29.7	29.1	30.7	31.7	26.5	37.4	30.1	34.3	28.9	30.3	28.6	36.6	26.5	30.5	28.1	30.4	28.9	31.9	28.5	33.6	27.3
ENSMUSG00000063065	946.8	1033.8	1042.1	1157	991.3	1056	1000.4	1046.3	975.5	1060.7	924.6	1041.9	1048.1	1050.4	951.5	972.2	915.4	1051	1062.1	1039.9	1023.5	1127.1	992.8	1087
ENSMUSG00000063130	34.6	31.3	32.5	31.5	31.4	32.6	30.6	34.1	42.1	29	39.3	31.9	40	126	39.3	32.4	35.1	38.2	31.2	33.7	35.9	37	35.5	31.6
ENSMUSG00000063358	1047.2	1045.1	1002	1049.1	1141.8	946.1	1043.6	969.5	914.5	1004	1028.4	1110.9	1072.3	1086.6	875.2	929.8	922.8	1002.8	989.8	919.3	948.6	1066.1	980.2	1060.1
ENSMUSG00000063594	70.5	67.3	63.9	66.3	53.1	64	67.6	57.5	52.7	61.7	64.1	73.3	65.9	60.1	69.8	70.7	66.4	65.8	64.7	79.8	62.5	62.6	65.8	71.5
ENSMUSG00000068523	708.9	759.2	705	744.4	562.3	725.1	732.7	777.7	612.2	715.1	577.3	771.6	771.3	702.8	571.3	706.4	662.4	665.1	690.3	688.3	695.1	711.3	618.8	749.4
ENSMUSG00000068523	180.7	225.5	198.6	207.8	164.5	171.2	201.1	202.7	180.4	198.1	153.7	169.3	209.5	208.9	146.7	199.7	184.9	183.8	185	159.5	195.3	193.2	180.4	193.8
ENSMUSG00000099269	24.2	22	21.6	21.1	18.2	21.2	20.8	22.1	24.7	20.6	21.8	24.4	22.2	21.6	22.1	22.5	22.9	22.4	21.3	23.3	20.6	21.2	22.4	20.6
