ID	ZT00	ZT03	ZT06	ZT09	ZT12	ZT15	ZT18	ZT21
FBgn0027109	9.842	9.707	9.946	12.665	13.783	14.575	9.313	9.229
FBgn0027109	10.04	9.791	9.274	13.018	12.852	13.59	8.847	9.294
FBgn0027109	9.869	9.879	10.123	12.89	13.694	14.453	9.478	9.158
FBgn0027932	130.484	108.81	95.066	99.6	108	101.116	82.772	93.693
FBgn0028622	15.767	17.377	18.614	16.794	17.405	15.535	17.519	18.264
FBgn0028734	29.314	24.766	19.85	24.012	24.748	23.28	17.235	24.836
FBgn0028734	31.217	27.523	24.119	27.157	29.524	26.143	21.169	28.918
FBgn0028734	24.215	22.11	20.246	21.114	23.717	19.886	16.871	22.528
FBgn0028734	24.479	23.04	21.308	21.766	24.276	20.391	17.61	23.531
FBgn0029823	177.437	298.924	195.377	262.069	282.507	384.145	346.158	291.466
FBgn0030228	31.202	27.628	23.557	26.405	25.367	23.226	24.35	27.721
FBgn0030555	5.665	4.917	3.458	4.243	4.76	5.049	4.539	4.584
FBgn0031414	0.692	0.551	0.325	0.66	0.515	0.516	0.446	0.594
FBgn0031634	0.508	0.754	0.796	0.468	0.768	0.562	0.675	0.655
FBgn0031634	0.583	0.787	0.795	0.537	0.787	0.609	0.742	0.664
FBgn0031634	0.596	0.777	0.812	0.549	0.772	0.623	0.758	0.678
FBgn0031634	0.558	0.778	0.799	0.513	0.753	0.583	0.742	0.635
FBgn0031759	14.411	11.326	10.867	13.359	12.964	11.472	11.272	13.632
FBgn0031759	14.436	11.346	10.885	13.382	12.986	11.492	11.291	13.656
FBgn0031759	14.471	11.32	10.889	13.365	13.07	11.471	11.27	13.711
FBgn0032048	10.732	10.138	12.496	11.578	12.24	9.85	12.872	10.255
FBgn0032840	3.2	3.827	3.022	2.564	4.516	3.341	4.092	3.392
FBgn0033257	2.58	3.117	4.542	3.228	2.781	3.222	3.646	4.113
FBgn0033558	1.584	1.94	2.1	1.851	1.763	1.363	2.066	1.917
FBgn0034136	1.117	0.849	1.092	1.303	0.957	0.809	1.323	1.238
FBgn0034911	0.545	0.412	0.218	0.399	0.321	0.45	0.344	0.33
FBgn0035023	5.448	6.238	8.39	6.047	8.048	4.689	5.562	7.533
FBgn0035023	6.819	8.085	10.001	7.557	9.046	6.131	6.235	9.551
FBgn0035802	21.704	21.907	21.573	20.103	22.747	21.736	20.906	21.283
FBgn0035802	16.372	15.038	13.249	14.683	15.832	15.707	14.251	16.062
FBgn0035934	2.305	2.519	2.755	2.55	2.864	3.287	2.263	2.381
FBgn0035934	2.468	2.577	2.815	2.674	2.957	3.341	2.314	2.415
FBgn0036340	8.941	7.815	9.1	10.26	9.892	9.43	9.913	8.81
FBgn0036927	57.006	58.631	66.923	62.81	67.634	76.152	53.355	47.091
FBgn0036927	43.816	45.064	51.65	48.239	52.068	58.531	41.054	35.87
FBgn0038118	2.232	2.781	2.066	2.35	2.422	2.534	2.103	2.393
FBgn0038197	34.796	44.489	27.366	28.718	32.628	26.643	30.627	38.715
FBgn0038197	30.64	39.199	24.207	25.45	28.908	23.577	26.898	34.257
FBgn0038197	34.006	43.379	26.682	28.05	31.972	26.034	29.873	37.84
FBgn0038693	2.536	2.118	1.777	2.517	2.339	2.052	2.353	2.406
FBgn0038857	13.665	13.303	15.748	15.177	15.587	18.397	15.478	14.014
FBgn0038870	8.552	9.302	8.921	8.776	8.726	8.707	7.742	7.868
FBgn0039225	3.929	5.567	6.124	4.9	4.634	4.336	5.001	4.622
FBgn0039225	3.549	5.003	5.638	4.373	4.307	3.974	4.41	4.288
FBgn0039298	73.335	39.391	35.729	40.628	41.343	47.29	65.09	52.039
FBgn0039536	1.267	1.337	1.072	1.382	1.418	1.275	1.089	1.568
FBgn0039536	1.26	1.345	1.066	1.382	1.401	1.268	1.093	1.559
FBgn0039536	1.25	1.341	1.057	1.37	1.398	1.257	1.093	1.552
FBgn0040071	9.667	7.797	7.144	8.546	8.909	8.106	8.077	9.545
FBgn0040382	102.884	109.427	101.814	102.55	102.718	112.221	117.02	109.008
FBgn0041188	26.075	25.687	21.601	25.318	25.461	25.467	24.975	25.969
FBgn0041188	26.453	25.284	20.689	25.286	25.711	25.573	24.561	26.456
FBgn0041723	1.226	1.074	0.534	1.03	0.826	1.262	0.798	0.864
FBgn0051992	39.649	33.486	31.214	35.476	36.665	31.954	29.769	34.545
FBgn0051992	29.078	25.17	23.617	26.253	27.421	23.618	22.446	25.605
FBgn0051992	39.137	33.091	30.72	35.041	36.202	31.679	29.451	34.178
FBgn0051992	39.997	33.727	31.477	35.803	36.983	32.226	30.044	34.849
FBgn0051992	39.087	33.066	30.756	35.015	36.255	31.639	29.435	34.163
FBgn0053527	2.591	1.224	3.014	0.989	2.938	2.718	0.786	1.291
FBgn0053988	0.669	0.648	0.453	0.985	0.758	0.659	0.534	0.841
FBgn0259168	6.791	9.715	4.591	5.663	6.413	5.76	5.417	7.956
FBgn0259938	20.478	12.409	15.294	18.359	19.013	15.673	18.434	19.279
FBgn0259938	19.078	11.465	14.102	16.82	17.278	14.298	16.678	17.746
FBgn0259938	20.329	12.333	15.067	18.127	18.711	15.442	18.118	18.981
FBgn0260753	11.356	11.751	12.415	11.318	11.616	9.663	11.28	11.479
FBgn0260753	12.838	13.427	13.909	12.83	13.19	11.063	12.908	12.929
FBgn0260794	38.607	33.763	26.546	34.263	33.486	29.908	26.087	39.71
FBgn0260794	38.144	33.375	26.206	33.88	33.093	29.535	25.772	39.258
FBgn0260794	38.177	33.385	26.207	33.915	33.089	29.544	25.791	39.281
FBgn0260794	40.57	35.451	27.873	35.96	35.116	31.324	27.4	41.71
FBgn0260794	41.25	35.194	29.111	35.897	36.86	31.121	27.324	41.702
FBgn0260794	39.136	33.315	27.554	34.015	34.908	29.471	25.85	39.536
FBgn0261268	80.578	84.377	85.111	75.739	73.579	78.758	70.376	80.402
FBgn0261268	88.535	90.097	87.212	80.479	78.381	83.666	73.27	86.164
FBgn0261268	63.129	65.995	66.811	59.264	57.832	61.862	55.672	62.969
FBgn0261617	4.828	3.483	2.609	4.516	4.292	3.607	3.28	5.499
FBgn0261617	5.373	4.193	3.564	5.308	4.977	3.946	4.17	5.703
FBgn0261710	13.375	11.376	11.348	15.37	15.818	14.855	13.812	13.943
FBgn0261808	37.731	63.354	30.749	29.452	31.708	27.224	47.585	37.779
FBgn0261808	40.754	70.383	33.588	31.58	34.297	29.277	51.952	41.273
FBgn0261808	28.757	48.977	23.527	22.526	24.279	20.627	36.345	29.077
FBgn0261953	0.092	0.433	0.262	0.326	0.208	0.296	0.111	0.219
FBgn0261953	0.15	0.355	0.269	0.268	0.128	0.243	0.091	0.21
FBgn0262103	6.064	5.042	2.48	4.834	4.499	4.51	3.732	5.992
FBgn0262593	1.495	1.262	1.662	1.699	1.695	1.581	1.352	1.965
FBgn0262593	2.73	2.136	2.779	3.516	2.974	2.809	2.356	3.128
FBgn0262593	2.665	2.072	2.817	3.587	3.021	2.885	2.339	3.055
FBgn0262866	4.272	3.515	3.121	3.764	4.169	3.895	3.395	4.002
FBgn0262866	2.897	2.464	2.339	2.612	2.802	2.712	2.317	2.769
FBgn0263116	0.647	0.836	0.834	0.812	0.783	0.836	0.655	0.912
FBgn0263116	0.641	0.84	0.829	0.842	0.774	0.828	0.653	0.891
FBgn0263220	1.992	1.982	1.901	1.978	2.258	1.944	1.742	2.202
FBgn0263220	2.229	2.327	1.344	2.292	2.394	2.302	1.766	2.656
FBgn0263220	2.235	2.272	1.554	2.101	2.341	2.253	1.706	2.63
FBgn0263397	6.712	5.819	6.694	6.068	5.76	5.957	4.663	5.419
FBgn0263397	2.526	2.038	2.012	1.949	2.108	2.015	1.499	2.398
FBgn0263397	2.3	1.868	2.456	1.868	2.128	1.98	1.396	2.171
FBgn0263397	16.033	13.723	17.444	14.815	14.116	14.347	11.378	12.353
FBgn0263490	4.782	4.608	4.348	4.331	4.771	4.631	3.541	4.841
FBgn0264006	0.353	0.45	0.442	0.305	0.38	0.433	0.396	0.337
FBgn0264006	0.349	0.446	0.438	0.302	0.376	0.429	0.392	0.334
FBgn0264006	0.353	0.45	0.442	0.296	0.38	0.433	0.397	0.338
FBgn0264492	38.784	44.706	55.262	43.121	48.997	39.349	42.61	41.22
FBgn0264492	46.232	53.207	65.337	51.293	57.889	46.239	50.529	48.962
FBgn0265042	27.263	22.611	35.569	32.897	35.582	30.513	29.381	28.724
FBgn0265042	22.636	19.842	30.934	28.187	30.432	25.494	24.077	23.951
FBgn0265042	22.049	18.229	28.56	26.35	28.386	24.341	23.535	23.025
FBgn0265598	3.901	4.774	3.618	2.571	3.468	3.835	4.629	4.205
FBgn0265784	26.513	27.768	20.699	26.488	29.117	21.147	24.181	27.748
FBgn0265784	29.546	30.562	22.941	28.818	31.646	23.455	26.764	30.018
FBgn0265784	26.482	27.547	21.092	26.199	28.995	21.418	24.284	27.307
FBgn0266137	0.2	0.268	0.286	0.288	0.284	0.194	0.182	0.239
FBgn0266418	4.22	2.958	3.045	3.595	3.569	3.632	3.029	3.697
FBgn0266418	4.033	2.846	2.922	3.423	3.398	3.458	2.884	3.571
