ID	ZT00	ZT06	ZT12	ZT18
FBgn0000307	4.961	4.202	4.415	4.223
FBgn0000307	4.616	3.859	3.848	3.7
FBgn0000308	374.096	319.976	403.435	323.54
FBgn0000308	447.203	380.926	485.509	390.592
FBgn0000308	305.517	260.155	328.542	265.236
FBgn0000316	19.582	25.501	25.744	23.582
FBgn0000316	12.245	16.325	14.786	14.278
FBgn0000317	3.596	2.963	2.954	4.536
FBgn0000318	162.776	200.179	187.657	171.746
FBgn0000318	161.124	197.141	184.591	169.635
FBgn0000319	102.124	132.407	95.173	116.118
FBgn0000319	102.824	133.561	95.991	116.929
FBgn0000320	0.496	0.089	0.313	0.395
FBgn0000320	0.407	0.096	0.367	0.427
FBgn0000330	7.696	11.864	10.049	9.609
FBgn0000339	50.136	51.599	72.109	60.645
FBgn0000351	1.913	2.403	2.653	2.625
FBgn0000351	1.834	2.304	2.571	2.569
FBgn0000352	1.546	2.189	2.026	1.871
FBgn0000355	0.257	0.165	0.529	0.598
FBgn0000357	0.814	0.588	1.327	2.164
FBgn0000359	0.059	0.114	0.122	0.392
FBgn0000360	0.178	0.038	0.163	0.118
FBgn0000370	303.06	312.125	342.991	306.399
FBgn0000370	496.746	513.983	552.335	512.872
FBgn0000376	3.373	3.104	2.851	2.703
FBgn0000377	6.828	9.457	8.536	8.323
FBgn0000382	12.548	10.417	10.37	9.54
FBgn0000382	20.84	17.136	17.309	15.634
FBgn0000382	13.185	9.732	9.816	9.005
FBgn0000392	6.017	7.589	7.184	10.387
FBgn0000404	1.039	0.537	0.62	1.276
FBgn0000405	0.321	0.253	0.423	0.491
FBgn0000406	1228.532	1533.046	887.101	1242.218
FBgn0000411	0.336	0.058	0.184	0.491
FBgn0000412	23.621	30.087	35.091	30.755
FBgn0000414	9.577	7.232	8.007	8.626
FBgn0000414	9.529	7.191	7.948	8.485
FBgn0000414	9.489	7.21	7.954	8.503
FBgn0000414	9.827	7.424	8.202	8.835
FBgn0000416	575.389	666.883	566.117	611.868
FBgn0000416	584.324	676.949	575.543	620.099
FBgn0000422	13.217	7.178	6.353	7.349
FBgn0000422	16.138	9.224	8.119	9.313
FBgn0000427	0.15	0.007	0.166	0.245
FBgn0000427	0.107	0	0.196	0.249
FBgn0000427	0.151	0.007	0.168	0.232
FBgn0000442	6.168	0.393	0.682	0.83
FBgn0000448	0.217	0.313	0.245	0.353
FBgn0000451	11.357	0.282	1.377	0.813
FBgn0000451	6.705	0.314	0.689	0.541
FBgn0000454	106.334	163.917	119.292	122.16
FBgn0000455	42.047	57.82	49.905	54.669
FBgn0000459	1.379	1.471	1.294	1.28
FBgn0000463	1.121	0.88	1.239	0.836
FBgn0000464	1.915	1.44	1.485	1.791
FBgn0000464	2.201	1.672	1.685	1.956
FBgn0000477	78.911	76.116	66.571	89.668
FBgn0000479	5.995	5.984	8.458	5.919
FBgn0000479	4.39	4.645	5.521	5.329
FBgn0000479	4.433	4.252	6.595	5.301
FBgn0000479	4.444	4.964	5.722	5.582
FBgn0000479	6.427	6.192	8.599	6.015
FBgn0000479	5.887	5.663	7.828	5.513
FBgn0000479	4.461	4.236	6.629	5.287
FBgn0000479	4.409	4.588	5.424	5.27
FBgn0000489	26.996	13.798	19.198	14.497
FBgn0000490	5.03	3.807	4.713	4.415
FBgn0000490	4.539	3.583	4.398	4.036
FBgn0000499	6.656	6.915	6.786	7.339
FBgn0000500	2.088	0.968	1.114	1.002
FBgn0000504	20.857	18.057	9.709	11.503
FBgn0000524	2.614	2.959	2.112	2.331
FBgn0000535	0.09	0.023	0.185	0.095
FBgn0000536	66.741	56.108	30.155	39.864
FBgn0000536	123.598	101.196	55.563	73.065
FBgn0000536	116.28	94.689	52.471	67.914
FBgn0000536	127.53	104.229	57.141	75.28
FBgn0000541	5.066	5.024	3.635	4.466
FBgn0000541	5.397	5.369	3.912	4.748
FBgn0000542	0.76	0.4	0.635	0.583
FBgn0000547	4.208	2.47	2.186	2.138
FBgn0000547	3.456	2.06	1.711	1.726
FBgn0000557	7.284	6.306	6.494	6.863
FBgn0000560	0.272	0.145	0.311	0.572
FBgn0000560	0.219	0.113	0.331	0.524
FBgn0000564	0.47	0.06	0.194	0.25
FBgn0000565	64.269	80.932	48.904	65.293
FBgn0000565	70.312	88.338	53.367	71.524
FBgn0000565	62.409	77.126	47.66	62.941
FBgn0000565	69.844	86.361	53.361	70.898
FBgn0000567	4.146	3.126	3.009	3.154
FBgn0000567	4.535	3.362	3.245	3.393
FBgn0000568	23.395	23.049	23.099	25.551
FBgn0000568	17.952	17.401	17.597	18.545
FBgn0000577	0.427	0.12	0.329	0.425
FBgn0000577	0.4	0.121	0.323	0.391
FBgn0000578	6.24	5.403	4.085	6.041
FBgn0000578	5.672	4.88	3.683	5.441
FBgn0000579	426.139	419.484	430.22	405.72
FBgn0000579	359.735	356.589	362.511	345.088
FBgn0000579	440.504	433.627	444.865	419.631
FBgn0000579	370.324	363.547	373.241	350.915
FBgn0000581	4.789	4.008	3.552	3.861
FBgn0000581	4.239	3.547	3.1	3.411
FBgn0000581	4.781	3.983	3.53	3.856
FBgn0000581	4.334	3.649	3.194	3.487
FBgn0000591	0.686	0.055	0.353	0.626
FBgn0000592	182.835	237.388	310.212	159.446
FBgn0000594	5.371	5.002	4.022	3.794
FBgn0000606	0.047	0.09	0.193	0.218
FBgn0000611	31.575	33.473	31.278	31.465
FBgn0000615	4.093	5.509	8.373	25.21
FBgn0000618	13.001	17.959	19.008	17.274
FBgn0000625	0.273	0.112	0.221	0.346
FBgn0000625	0.28	0.115	0.227	0.356
FBgn0000633	0.255	0.064	0.228	0.332
FBgn0000635	7.217	4.444	7.715	6.701
FBgn0000635	6.208	3.776	5.98	5.677
FBgn0000635	6.368	3.874	6.121	5.81
FBgn0000636	9.631	3.675	3.493	2.675
FBgn0000636	12.829	4.58	4.172	3.46
FBgn0000636	10.546	3.965	3.808	2.948
FBgn0000636	15.226	4.271	4.023	3.192
FBgn0000659	12.082	0.09	0.426	0.413
FBgn0000662	16.216	14.876	12.271	13.665
FBgn0000667	49.359	34.695	56.847	39.337
FBgn0000667	42.013	29.7	48.644	33.555
FBgn0000667	46.839	32.94	53.874	37.538
FBgn0000709	5.371	4.942	4.024	4.895
FBgn0000711	17.974	15.346	14.305	12.065
FBgn0000719	10.135	10.17	9.075	9.01
FBgn0000719	7.704	7.719	6.796	6.805
FBgn0000719	8.836	8.858	7.838	7.879
FBgn0000719	7.005	6.825	6.133	6.22
FBgn0000721	62.522	61.381	60.105	62.867
FBgn0000721	60.372	59.935	58.504	61.886
FBgn0000721	61.491	60.414	59.253	61.956
FBgn0000721	55.638	54.277	53.119	55.644
FBgn0000721	63.998	63.494	62.053	65.094
FBgn0000721	63.011	61.809	60.635	63.317
FBgn0000723	24.648	14.119	13.992	13.709
FBgn0000808	0.682	0.438	0.866	0.544
FBgn0000927	0.588	0.094	0.282	0.371
FBgn0000996	1.396	1.575	1.407	1.433
FBgn0001079	2.288	2.19	2.134	2.053
FBgn0001083	1.038	0.333	0.39	0.411
FBgn0001084	1.287	1.378	1.82	1.27
FBgn0001084	1.363	1.504	1.899	1.386
FBgn0001085	1.396	1.151	0.733	0.973
FBgn0001086	4.188	1.44	2.918	1.621
FBgn0001087	6.785	7.325	6.105	6.683
FBgn0001087	6.999	7.461	6.171	6.755
FBgn0001091	330.345	372.086	462.361	403.093
FBgn0001092	349.932	420.889	416.124	364.893
FBgn0001092	366.706	441.091	436.127	382.433
FBgn0001098	173.884	106.538	132.886	122.97
FBgn0001098	175.563	109.186	136.411	123.728
FBgn0001099	4.77	5.08	6.314	11.111
FBgn0001105	31.448	39.004	34.983	35.579
FBgn0001105	24.137	30.862	26.801	28.926
FBgn0001105	33.299	41.28	37.075	37.675
FBgn0001105	31.478	39.05	35.076	35.62
FBgn0001112	17.466	1.385	15.051	1.026
FBgn0001114	47.959	67.715	38.918	61.768
FBgn0001122	14.11	13.882	10.629	10.392
FBgn0001122	17.747	17.231	14.418	12.409
FBgn0001122	14.334	14.161	10.823	10.581
FBgn0001122	13.922	14.439	10.361	10.354
FBgn0001123	31.228	33.85	35.695	30.204
FBgn0001123	27.573	29.964	31.501	26.682
FBgn0001125	582.111	549.525	429.403	643.716
FBgn0001125	597.312	562.631	439.055	660.426
FBgn0001128	272.991	397.774	343.408	182.905
FBgn0001128	292.64	393.987	332.297	191.271
FBgn0001128	258.644	364.362	311.79	173.054
FBgn0001133	12.818	15.943	14.447	13.551
FBgn0001137	52.314	62.594	61.75	64.771
FBgn0001138	0.191	0.061	0.118	0.305
FBgn0001138	0.193	0.052	0.11	0.289
FBgn0001139	14.18	12.906	12.348	12.169
FBgn0001139	13.346	11.468	11.646	11.234
FBgn0001139	13.008	11.23	11.439	11.078
FBgn0001139	13.062	11.181	11.359	10.884
FBgn0001139	13.181	11.26	11.451	11.002
FBgn0001139	13.443	11.523	11.763	11.285
FBgn0001145	157.89	142.829	102.65	85.104
FBgn0001148	0.483	0.052	0.94	0.508
FBgn0001149	714.076	681.159	770.095	772.906
FBgn0001149	1015.495	969.801	1100.581	1103.835
FBgn0001168	223.013	193.437	194.863	216.68
FBgn0001168	207.127	179.282	180.656	200.569
FBgn0001169	3.044	3.079	2.554	2.51
FBgn0001179	3.904	5.013	4.17	5.013
FBgn0001180	1.55	1.062	1.574	1.167
FBgn0001186	49.331	42.106	48.723	42.249
FBgn0001189	12.153	18.799	17.438	16.457
FBgn0001202	16.671	16.859	14.715	15.555
FBgn0001206	0.734	0.798	0.784	0.919
FBgn0001208	261.543	266.493	191.104	294.389
FBgn0001208	286.186	291.433	208.413	322.03
FBgn0001215	25.238	27.338	19.562	26.712
FBgn0001216	3.853	2.571	3.601	7.882
FBgn0001216	4.031	2.863	3.63	7.215
FBgn0001217	13.271	16.653	19.597	22.715
FBgn0001218	158.591	160.255	157.453	176.76
FBgn0001218	167.237	168.904	166.057	186.412
FBgn0001223	158.21	81.376	197.453	177.044
FBgn0001225	940.428	493.074	975.996	980.381
FBgn0001227	2.201	0.536	1.432	2.093
FBgn0001228	8.156	1.817	4.624	8.127
FBgn0001228	10.528	2.399	5.669	9.025
FBgn0001230	261.317	119.336	285.583	268.488
FBgn0001233	716.04	572.557	885.697	850.384
FBgn0001235	1.873	1.203	1.01	1.12
FBgn0001235	1.586	0.935	1.088	0.94
FBgn0001248	512.752	498.579	426.461	469.619
FBgn0001248	591.726	577.168	493.185	543.591
FBgn0001248	534.633	519.812	444.646	489.946
FBgn0001248	641.954	626.621	538.087	590.888
FBgn0001248	543.66	529.402	453.427	498.685
FBgn0001250	21.501	24.203	23.287	25.293
FBgn0001250	21.297	23.935	23.003	25.012
FBgn0001250	20.839	23.424	22.56	24.479
FBgn0001253	0.356	0.048	0.244	0.408
FBgn0001253	0.359	0.049	0.246	0.412
FBgn0001254	0.27	0.074	0.317	0.256
FBgn0001255	1.806	0.58	0.495	0.72
FBgn0001256	0.568	0.511	0.468	0.226
FBgn0001257	133.948	132.694	202.924	131.349
FBgn0001257	113.839	108.304	149.686	110.43
FBgn0001258	67.908	50.217	46.585	64.07
FBgn0001258	55.881	41.442	38.202	52.744
FBgn0001269	0.319	0.093	0.379	0.714
FBgn0001269	0.328	0.096	0.388	0.713
FBgn0001269	0.29	0.099	0.358	0.667
FBgn0001276	8.616	7.802	7.963	7.29
FBgn0001280	41.602	52.004	55.496	66.133
FBgn0001280	40.31	50.575	53.772	64.078
FBgn0001281	7.931	9.809	14.721	30.76
FBgn0001285	1.316	0.094	0.702	1.02
FBgn0001296	37.427	47.039	53.88	42.453
FBgn0001297	84.171	44.298	59.281	49.094
FBgn0001308	36.847	34.652	35.862	33.183
FBgn0001311	0.31	0.092	0.352	0.348
FBgn0001313	0.026	0.007	0.054	0.06
FBgn0001316	14.777	15.603	15.987	13.176
FBgn0001316	9.485	9.681	9.496	8.561
FBgn0001316	8.349	8.543	8.426	7.739
FBgn0001319	8.015	15.945	8.234	11.581
FBgn0001319	8.222	16.666	8.392	11.94
FBgn0001320	1.911	0.724	2.085	1.228
FBgn0001324	5.848	7.091	7.341	7.44
FBgn0001325	0.253	0.105	0.164	0.188
FBgn0001404	32.279	37.728	25.474	29.081
FBgn0001404	37.961	43.531	30.335	33.6
FBgn0001491	20.55	27.537	26.672	22.786
FBgn0001565	63.109	66.171	42.481	49.721
FBgn0001612	1.916	2.721	2.427	2.326
FBgn0001624	1.618	1.164	0.976	0.815
FBgn0001624	15.2	17.305	15.045	14.231
FBgn0001624	17.555	19.728	17.849	16.319
FBgn0001624	6.252	5.498	4.77	5.113
FBgn0001624	18.274	20.362	18.389	16.335
FBgn0001624	14.636	16.16	14.802	13.104
FBgn0001624	15.189	17.314	15.108	14.261
FBgn0001624	15.19	17.297	15.101	14.301
FBgn0001624	1.474	1.107	1.011	0.854
FBgn0001624	1.47	1.142	1.062	0.805
FBgn0001942	1232.265	1182.176	1035.373	1176.422
FBgn0001942	1122.184	1079.079	945.834	1075.895
FBgn0001942	1375.134	1320.739	1156.408	1315.791
FBgn0001942	1421.631	1368.648	1193.714	1364.995
FBgn0001967	0.74	0.264	0.789	0.819
FBgn0001970	3.653	3.616	3.32	3.559
FBgn0001974	5.394	5.613	5.512	5.783
FBgn0001978	11.611	11.325	8.249	9.345
FBgn0001978	11.552	11.278	8.218	9.308
FBgn0001981	1.213	0.093	0.515	0.652
FBgn0001983	0.295	0.114	0.142	0.294
FBgn0001986	4.657	4.526	3.634	4.356
FBgn0001987	7.191	2.354	3.53	3.575
FBgn0001987	7.539	2.479	3.683	3.732
FBgn0001987	7.628	2.521	3.85	3.821
FBgn0001989	107.603	97.87	124.414	129.137
FBgn0001989	54.813	49.977	63.615	65.465
FBgn0001990	4.276	5.615	4.578	5.036
FBgn0001991	3.169	2.567	3.251	2.69
FBgn0001991	3.777	3.106	4.116	3.214
FBgn0001991	3.412	2.766	3.65	2.88
FBgn0001991	3.565	2.917	3.731	3.024
FBgn0001991	3.43	2.794	3.686	2.915
FBgn0001991	3.117	2.529	3.222	2.656
FBgn0001991	3.455	2.83	3.629	2.955
FBgn0001991	3.13	2.533	3.23	2.65
FBgn0001992	1.249	0.778	0.857	0.732
FBgn0002022	38.489	45.093	38.05	44.292
FBgn0002023	0.383	0.148	0.316	0.441
FBgn0002023	0.422	0.116	0.372	0.44
FBgn0002023	0.373	0.127	0.331	0.438
FBgn0002023	0.438	0.141	0.367	0.436
FBgn0002031	43.305	57.606	68.512	70.29
FBgn0002036	10.42	10.992	11.701	15.89
FBgn0002044	11.917	11.881	11.389	11.282
FBgn0002069	69.996	68.341	52.02	58.621
FBgn0002121	25.474	22.525	18.524	22.095
FBgn0002121	24.875	22.008	18.105	21.624
FBgn0002121	24.218	21.427	17.627	21.053
FBgn0002121	25.019	22.185	18.231	21.76
FBgn0002121	24.739	21.798	17.965	21.445
FBgn0002121	23.859	20.975	17.298	20.629
FBgn0002121	24.467	21.509	17.739	21.154
FBgn0002174	19.639	18.472	16.167	23.638
FBgn0002174	22.108	20.877	18.154	26.678
FBgn0002183	7.371	8.033	7.309	7.529
FBgn0002283	10.129	9.29	12.116	10.674
FBgn0002306	2.009	1.09	0.853	0.907
FBgn0002354	14.551	17.14	21.862	21.971
FBgn0002413	12.025	13.896	12.417	12.382
FBgn0002413	14.412	17.203	15.11	16.071
FBgn0002413	14.439	17.229	14.901	15.859
FBgn0002440	0.17	0.091	0.234	0.434
FBgn0002466	0.314	0.076	0.208	0.216
FBgn0002466	0.313	0.076	0.208	0.215
FBgn0002521	14.062	13.187	10.026	11.531
FBgn0002525	5.299	6.793	6.038	5.004
FBgn0002525	6.122	7.888	6.956	5.731
FBgn0002526	11.008	12.041	12.533	9.604
FBgn0002531	0.622	0	0.171	0.413
FBgn0002533	0.184	0.177	0.316	0.428
FBgn0002534	0.258	0	0.265	0.343
FBgn0002535	0	0.081	0.344	0.417
FBgn0002542	2.974	2.124	1.594	1.84
FBgn0002543	2.006	1.636	2.417	2.094
FBgn0002552	3.998	3.261	3.336	3.924
FBgn0002563	2.121	1.345	0.745	0.771
FBgn0002565	4.452	12.989	18.969	31.565
FBgn0002566	15.702	17.468	14.96	19.391
FBgn0002566	10.53	11.61	10.106	13.027
FBgn0002567	20.693	12.971	10.983	11.47
FBgn0002567	12.344	7.483	6.139	7.018
FBgn0002567	19.754	12.558	10.44	11.035
FBgn0002573	0.242	0.017	0.258	0.214
FBgn0002576	0.854	0.634	0.833	0.983
FBgn0002577	0.135	0.075	0.08	0.283
FBgn0002579	3032.273	2858.051	2932.264	2825.129
FBgn0002590	1740.012	1772.852	1656.554	1693.449
FBgn0002609	1.614	0.648	1.176	1.173
FBgn0002626	1908.765	1890.103	1878.575	1996.1
FBgn0002632	0.116	0	0.278	0.346
FBgn0002638	9.213	11.022	9.312	10.406
FBgn0002643	4.364	5.671	6.041	6.708
FBgn0002643	2.734	3.445	3.4	3.452
FBgn0002645	20.338	21.521	17.108	19.779
FBgn0002645	21.081	23.013	17.901	20.289
FBgn0002673	1.575	0.905	0.853	1.12
FBgn0002707	0.822	1.477	1.14	1.14
FBgn0002709	1.21	1.477	1.425	2.009
FBgn0002715	1.431	1.266	1.804	2.389
FBgn0002716	3.432	2.442	2.315	2.584
FBgn0002719	813.651	743.158	548.221	358.665
FBgn0002723	2.539	2.417	1.405	2.361
FBgn0002732	1.073	0.125	0.669	0.389
FBgn0002734	0.39	0.083	0.401	0.648
FBgn0002735	0.289	0	0.149	0.384
FBgn0002772	1001.809	802.206	1276.22	877.229
FBgn0002773	1440.018	1161.581	1812.149	1325.229
FBgn0002774	6.914	7.881	6.683	7.276
FBgn0002778	36.939	23.58	10.658	8.584
FBgn0002781	13.09	12.992	11.904	14.082
FBgn0002781	13.956	14.348	13.18	15.398
FBgn0002781	12.287	12.895	11.347	14.07
FBgn0002781	14.658	14.872	13.503	16.533
FBgn0002781	13.538	13.555	12.228	15.033
FBgn0002781	12.301	12.754	11.33	13.908
FBgn0002781	16.918	17.089	14.932	18.16
FBgn0002781	15.503	16.053	14.258	17.292
FBgn0002781	14.626	15.495	14.279	16.355
FBgn0002781	13.758	13.972	12.762	15.143
FBgn0002781	15.706	15.962	14.112	17.434
FBgn0002781	35.595	36.155	32.166	38.396
FBgn0002781	16.336	16.766	15.078	18.431
FBgn0002781	27.077	28.228	25.164	29.895
FBgn0002781	16.08	16.296	14.383	17.936
FBgn0002781	25.308	26.045	23.583	28.009
FBgn0002781	28.918	29.731	27.083	31.663
FBgn0002781	19.016	19.385	17.36	21.345
FBgn0002783	7.257	8.995	7.849	8.604
FBgn0002783	7.154	8.741	7.617	8.375
FBgn0002787	59.692	74.064	130.352	106.923
FBgn0002789	740.976	657.812	1032.744	591.096
FBgn0002791	4.615	5.644	5.765	7.279
FBgn0002838	0.371	0.238	0.891	0.863
FBgn0002842	0.276	0.355	0.9	0.688
FBgn0002855	1.445	0.398	4.438	1.097
FBgn0002862	16.486	28.406	48.523	142.006
FBgn0002863	15.934	25.4	41.274	31.758
FBgn0002865	5.189	5.574	13.177	50.948
FBgn0002868	682.269	473.411	203.6	268.502
FBgn0002872	1.105	1.388	1.171	1.555
FBgn0002872	1.093	1.383	1.158	1.548
FBgn0002873	0.232	0.095	0.152	0.358
FBgn0002873	0.26	0.119	0.146	0.369
FBgn0002873	0.243	0.103	0.141	0.374
FBgn0002887	1.679	2.178	1.962	2.276
FBgn0002887	2.007	2.505	2.332	2.555
FBgn0002891	3.602	3.261	3.44	3.436
FBgn0002899	0.509	0.515	0.376	0.403
FBgn0002905	1.27	1.558	1.567	1.408
FBgn0002906	1.149	1.238	0.685	1.145
FBgn0002909	7.186	7.479	7.158	7.924
FBgn0002914	14.264	15.013	14.469	17.617
FBgn0002914	14.469	15.238	14.692	17.845
FBgn0002917	0.293	0.089	0.183	0.172
FBgn0002921	162.116	84.068	107.732	91.532
FBgn0002921	130.06	68.286	87.754	73.848
FBgn0002922	0.947	0.249	0.177	0.687
FBgn0002926	0.216	0.036	0.241	0.361
FBgn0002930	197.547	177.844	169.271	224.06
FBgn0002931	1.951	0.721	1.48	0.845
FBgn0002931	2.178	0.788	1.63	1.079
FBgn0002932	8.083	5.526	6.469	6.346
FBgn0002933	0	0	0	0
FBgn0002938	3.449	2.087	2.592	2.543
FBgn0002938	2.993	1.921	2.221	2.359
FBgn0002938	3.703	2.285	2.751	2.652
FBgn0002939	0.787	0.347	0.337	0.752
FBgn0002939	0.65	0.417	0.315	0.711
FBgn0002941	0.567	0.285	0.372	0.622
FBgn0002945	4.061	1.997	2.304	3.139
FBgn0002962	0.402	0.148	0.177	0.649
FBgn0002962	0.392	0.144	0.173	0.651
FBgn0002973	22.969	16.198	10.481	14.226
FBgn0002985	2.838	4.311	3.238	2.557
FBgn0003008	14.6	19.991	22.024	19.614
FBgn0003009	0.397	0.016	0.153	0.412
FBgn0003011	0.153	0.059	0.168	0.385
FBgn0003015	0.183	0.074	0.126	0.335
FBgn0003016	3.622	3.65	3.337	3.364
FBgn0003016	3.637	3.665	3.35	3.371
FBgn0003016	3.735	3.758	3.48	3.504
FBgn0003023	0.082	0.013	0.154	0.122
FBgn0003028	0.367	0.219	0.216	0.174
FBgn0003034	5.397	6.16	17.688	13.346
FBgn0003041	7.587	7.001	6.335	5.779
FBgn0003041	5.556	5.003	4.738	4.196
FBgn0003041	7.326	6.628	5.912	5.666
FBgn0003041	5.522	4.903	4.531	4.31
FBgn0003041	7.572	6.96	6.357	5.653
FBgn0003042	2.94	3.088	2.438	2.787
FBgn0003044	2.324	1.854	1.641	1.783
FBgn0003044	2.288	2.074	1.878	1.828
FBgn0003048	2.687	2.501	2.158	1.954
FBgn0003048	2.697	2.511	2.165	1.964
FBgn0003048	2.698	2.516	2.171	1.962
FBgn0003053	3.822	1.4	4.824	3.433
FBgn0003053	3.819	1.399	4.82	3.43
FBgn0003057	0.09	0	0.186	0.12
FBgn0003067	697.299	836.29	810.703	1702.286
