Gene.ID	Transcript.ID	Affy.ID	Gene.Type
ENSRNOG00000000693	ENSRNOT00000000874	1369022_at	protein_coding
ENSRNOG00000000693	ENSRNOT00000084511		protein_coding
ENSRNOG00000060066	ENSRNOT00000080322		protein_coding
ENSRNOG00000054513	ENSRNOT00000077428	1372288_at	protein_coding
ENSRNOG00000048836	ENSRNOT00000071016		miRNA
ENSRNOG00000020182	ENSRNOT00000027360	1367925_at	protein_coding
ENSRNOG00000020182	ENSRNOT00000027360	1397628_at	protein_coding
ENSRNOG00000058078	ENSRNOT00000090487		snoRNA
ENSRNOG00000049674	ENSRNOT00000047230		protein_coding
ENSRNOG00000056505	ENSRNOT00000086109		snoRNA
ENSRNOG00000035571	ENSRNOT00000053694		miRNA
ENSRNOG00000011762	ENSRNOT00000068269	1370542_a_at	protein_coding
ENSRNOG00000011762	ENSRNOT00000068269	1374137_at	protein_coding
ENSRNOG00000011762	ENSRNOT00000084005	1370542_a_at	protein_coding
ENSRNOG00000011762	ENSRNOT00000084005	1374137_at	protein_coding
ENSRNOG00000011762	ENSRNOT00000079417	1370542_a_at	protein_coding
ENSRNOG00000011762	ENSRNOT00000079417	1374137_at	protein_coding
ENSRNOG00000056877	ENSRNOT00000084423		misc_RNA
ENSRNOG00000028130	ENSRNOT00000037194		protein_coding
ENSRNOG00000045816	ENSRNOT00000081136	1371013_at	protein_coding
ENSRNOG00000045816	ENSRNOT00000073148	1371013_at	protein_coding
ENSRNOG00000045816	ENSRNOT00000071615	1371013_at	protein_coding
ENSRNOG00000050468	ENSRNOT00000071333		protein_coding
ENSRNOG00000021657	ENSRNOT00000033483		protein_coding
ENSRNOG00000039543	ENSRNOT00000060614		protein_coding
ENSRNOG00000057043	ENSRNOT00000083800		protein_coding
ENSRNOG00000024707	ENSRNOT00000055398		protein_coding
ENSRNOG00000051899	ENSRNOT00000085174		miRNA
ENSRNOG00000011634	ENSRNOT00000015540		protein_coding
ENSRNOG00000011222	ENSRNOT00000014910	1369976_at	protein_coding
ENSRNOG00000028919	ENSRNOT00000015635	1382113_at	protein_coding
ENSRNOG00000050105	ENSRNOT00000027214	1370371_a_at	protein_coding
ENSRNOG00000060030	ENSRNOT00000086058		snoRNA
ENSRNOG00000052765	ENSRNOT00000078894		miRNA
ENSRNOG00000027343	ENSRNOT00000023114		protein_coding
ENSRNOG00000057389	ENSRNOT00000084297		protein_coding
ENSRNOG00000032009	ENSRNOT00000065115		protein_coding
ENSRNOG00000032009	ENSRNOT00000084198		protein_coding
ENSRNOG00000052383	ENSRNOT00000082860	1393964_at	protein_coding
ENSRNOG00000026941	ENSRNOT00000036951	1374496_at	protein_coding
ENSRNOG00000010846	ENSRNOT00000015546	1372361_at	protein_coding
ENSRNOG00000046516	ENSRNOT00000071833		protein_coding
ENSRNOG00000026503	ENSRNOT00000031908		protein_coding
ENSRNOG00000026503	ENSRNOT00000087818		protein_coding
ENSRNOG00000057338	ENSRNOT00000089549		protein_coding
ENSRNOG00000006139	ENSRNOT00000008410	1372512_at	protein_coding
ENSRNOG00000039305	ENSRNOT00000060213		protein_coding
ENSRNOG00000045945	ENSRNOT00000051043		protein_coding
ENSRNOG00000024499	ENSRNOT00000072904		protein_coding
ENSRNOG00000059128	ENSRNOT00000082384		lincRNA
ENSRNOG00000050553	ENSRNOT00000081433	1376239_at	protein_coding
ENSRNOG00000050553	ENSRNOT00000071977	1376239_at	protein_coding
ENSRNOG00000051963	ENSRNOT00000084802		lincRNA
ENSRNOG00000054990	ENSRNOT00000090651		lincRNA
ENSRNOG00000004505	ENSRNOT00000006168	1371176_at	protein_coding
ENSRNOG00000054844	ENSRNOT00000081221		lincRNA
ENSRNOG00000057429	ENSRNOT00000085406		rRNA
ENSRNOG00000056144	ENSRNOT00000081156		protein_coding
ENSRNOG00000019019	ENSRNOT00000025725	1389449_at	protein_coding
ENSRNOG00000055026	ENSRNOT00000085820		snRNA
ENSRNOG00000052417	ENSRNOT00000083771		snoRNA
ENSRNOG00000013579	ENSRNOT00000018164	1367895_at	protein_coding
ENSRNOG00000006353	ENSRNOT00000051258	1395652_at	protein_coding
ENSRNOG00000050514	ENSRNOT00000074950		protein_coding
ENSRNOG00000013855	ENSRNOT00000064015	1376189_at	protein_coding
ENSRNOG00000046227	ENSRNOT00000075423	1388308_at	protein_coding
ENSRNOG00000046227	ENSRNOT00000080686	1388308_at	protein_coding
ENSRNOG00000018047	ENSRNOT00000024408	1387000_at	protein_coding
ENSRNOG00000018047	ENSRNOT00000084950	1387000_at	protein_coding
ENSRNOG00000054067	ENSRNOT00000080548		lincRNA
ENSRNOG00000060872	ENSRNOT00000080915		lincRNA
ENSRNOG00000054828	ENSRNOT00000044455		protein_coding
ENSRNOG00000059013	ENSRNOT00000086066		lincRNA
ENSRNOG00000054668	ENSRNOT00000080891		snRNA
ENSRNOG00000060665	ENSRNOT00000090597	1375358_at	protein_coding
ENSRNOG00000060665	ENSRNOT00000090597	1369385_at	protein_coding
ENSRNOG00000060665	ENSRNOT00000089006	1369385_at	protein_coding
ENSRNOG00000050409	ENSRNOT00000075274		miRNA
ENSRNOG00000014230	ENSRNOT00000083005	1367882_at	protein_coding
ENSRNOG00000014230	ENSRNOT00000083005	1382938_at	protein_coding
ENSRNOG00000014230	ENSRNOT00000019320	1367882_at	protein_coding
ENSRNOG00000053514	ENSRNOT00000080580		snRNA
ENSRNOG00000032132	ENSRNOT00000051805		protein_coding
ENSRNOG00000055607	ENSRNOT00000078606		snRNA
ENSRNOG00000001592	ENSRNOT00000002169	1392918_at	protein_coding
ENSRNOG00000001592	ENSRNOT00000002169	1373784_at	protein_coding
ENSRNOG00000025938	ENSRNOT00000034485		protein_coding
ENSRNOG00000025938	ENSRNOT00000064466		protein_coding
ENSRNOG00000001928	ENSRNOT00000043498		protein_coding
ENSRNOG00000001928	ENSRNOT00000002645	1387507_at	protein_coding
ENSRNOG00000046260	ENSRNOT00000072947		protein_coding
ENSRNOG00000008680	ENSRNOT00000034300	1388902_at	protein_coding
ENSRNOG00000031899	ENSRNOT00000047856		protein_coding
ENSRNOG00000033372	ENSRNOT00000052120	1383300_at	protein_coding
ENSRNOG00000033372	ENSRNOT00000052120	1386611_at	protein_coding
ENSRNOG00000050556	ENSRNOT00000072543		miRNA
ENSRNOG00000057491	ENSRNOT00000083708		snRNA
ENSRNOG00000059235	ENSRNOT00000088967		lincRNA
ENSRNOG00000049797	ENSRNOT00000074915		protein_coding
ENSRNOG00000060127	ENSRNOT00000087258		snoRNA
ENSRNOG00000049482	ENSRNOT00000073984		protein_coding
ENSRNOG00000007359	ENSRNOT00000009697		protein_coding
ENSRNOG00000048837	ENSRNOT00000071358		protein_coding
ENSRNOG00000032558	ENSRNOT00000042211		protein_coding
ENSRNOG00000004588	ENSRNOT00000006050	1372840_at	protein_coding
ENSRNOG00000050654	ENSRNOT00000045439		protein_coding
ENSRNOG00000048275	ENSRNOT00000071925	1377660_at	protein_coding
ENSRNOG00000022890	ENSRNOT00000030112		protein_coding
ENSRNOG00000029479	ENSRNOT00000051823		protein_coding
ENSRNOG00000029773	ENSRNOT00000086812	1376834_at	protein_coding
ENSRNOG00000029773	ENSRNOT00000050555		protein_coding
ENSRNOG00000004649	ENSRNOT00000006308	1398256_at	protein_coding
ENSRNOG00000052232	ENSRNOT00000087329	1372216_at	protein_coding
ENSRNOG00000050521	ENSRNOT00000073130		protein_coding
ENSRNOG00000037124	ENSRNOT00000055995		protein_coding
ENSRNOG00000045918	ENSRNOT00000070962	1384390_at	protein_coding
ENSRNOG00000014834	ENSRNOT00000019968		protein_coding
ENSRNOG00000003357	ENSRNOT00000004956	1370959_at	protein_coding
ENSRNOG00000020460	ENSRNOT00000027734	1367820_at	protein_coding
ENSRNOG00000046741	ENSRNOT00000074150	1382551_at	protein_coding
ENSRNOG00000046741	ENSRNOT00000074150	1393625_at	protein_coding
ENSRNOG00000046741	ENSRNOT00000074150	1396256_at	protein_coding
ENSRNOG00000046741	ENSRNOT00000074150	1395799_at	protein_coding
ENSRNOG00000013225	ENSRNOT00000017996	1387518_at	protein_coding
ENSRNOG00000032310	ENSRNOT00000044428		protein_coding
ENSRNOG00000033030	ENSRNOT00000042119		processed_pseudogene
ENSRNOG00000019592	ENSRNOT00000026491	1393785_at	protein_coding
ENSRNOG00000019592	ENSRNOT00000056724	1393785_at	protein_coding
ENSRNOG00000011745	ENSRNOT00000015946	1398778_at	protein_coding
ENSRNOG00000001271	ENSRNOT00000079333	1391589_at	protein_coding
ENSRNOG00000001271	ENSRNOT00000039057		protein_coding
ENSRNOG00000020821	ENSRNOT00000028247		protein_coding
ENSRNOG00000021274	ENSRNOT00000028901		protein_coding
ENSRNOG00000014187	ENSRNOT00000019267	1368123_at	protein_coding
ENSRNOG00000016100	ENSRNOT00000021543		protein_coding
ENSRNOG00000003210	ENSRNOT00000004282		protein_coding
ENSRNOG00000004438	ENSRNOT00000006219	1387385_at	protein_coding
ENSRNOG00000004438	ENSRNOT00000080621	1387385_at	protein_coding
ENSRNOG00000000963	ENSRNOT00000048474	1385049_at	protein_coding
ENSRNOG00000000963	ENSRNOT00000048474	1382147_at	protein_coding
ENSRNOG00000042229	ENSRNOT00000059157		protein_coding
ENSRNOG00000009431	ENSRNOT00000012600	1385138_at	protein_coding
ENSRNOG00000009431	ENSRNOT00000012600	1378254_at	protein_coding
ENSRNOG00000009431	ENSRNOT00000064942	1385138_at	protein_coding
ENSRNOG00000009431	ENSRNOT00000064942	1378254_at	protein_coding
ENSRNOG00000057118	ENSRNOT00000087263		protein_coding
ENSRNOG00000014743	ENSRNOT00000020192	1369986_at	protein_coding
ENSRNOG00000010821	ENSRNOT00000014413		protein_coding
ENSRNOG00000015304	ENSRNOT00000020609	1376052_at	protein_coding
ENSRNOG00000015359	ENSRNOT00000040516		protein_coding
ENSRNOG00000013906	ENSRNOT00000018677	1385129_at	protein_coding
ENSRNOG00000054681	ENSRNOT00000091830		protein_coding
ENSRNOG00000022669	ENSRNOT00000051619		protein_coding
ENSRNOG00000003194	ENSRNOT00000004262		pseudogene
ENSRNOG00000010492	ENSRNOT00000087322	1386069_at	protein_coding
ENSRNOG00000010492	ENSRNOT00000068083		protein_coding
ENSRNOG00000048917	ENSRNOT00000082933		protein_coding
ENSRNOG00000048917	ENSRNOT00000074452		protein_coding
ENSRNOG00000048917	ENSRNOT00000008542		protein_coding
ENSRNOG00000008518	ENSRNOT00000011295	1385341_at	protein_coding
ENSRNOG00000008518	ENSRNOT00000011295	1393802_x_at	protein_coding
ENSRNOG00000016710	ENSRNOT00000022385		processed_pseudogene
ENSRNOG00000001964	ENSRNOT00000078434	1369559_a_at	protein_coding
ENSRNOG00000001964	ENSRNOT00000078221	1369559_a_at	protein_coding
ENSRNOG00000001964	ENSRNOT00000050142	1369559_a_at	protein_coding
ENSRNOG00000015636	ENSRNOT00000021132	1379524_at	protein_coding
ENSRNOG00000021578	ENSRNOT00000060156		protein_coding
ENSRNOG00000013241	ENSRNOT00000054729		protein_coding
ENSRNOG00000057550	ENSRNOT00000090279		processed_pseudogene
ENSRNOG00000046040	ENSRNOT00000073040		protein_coding
ENSRNOG00000019177	ENSRNOT00000026112		protein_coding
ENSRNOG00000008394	ENSRNOT00000011168	1387633_at	protein_coding
ENSRNOG00000048210	ENSRNOT00000072317		protein_coding
ENSRNOG00000045989	ENSRNOT00000052292	1375519_at	protein_coding
ENSRNOG00000005730	ENSRNOT00000061903	1378565_at	protein_coding
ENSRNOG00000005730	ENSRNOT00000061903	1393198_at	protein_coding
ENSRNOG00000005730	ENSRNOT00000061903	1377742_at	protein_coding
ENSRNOG00000005730	ENSRNOT00000007769	1393198_at	protein_coding
ENSRNOG00000004192	ENSRNOT00000005619		protein_coding
ENSRNOG00000006004	ENSRNOT00000067912	1371800_at	protein_coding
ENSRNOG00000027938	ENSRNOT00000033359	1381799_at	protein_coding
ENSRNOG00000012218	ENSRNOT00000016348		protein_coding
ENSRNOG00000013103	ENSRNOT00000017851	1387216_at	protein_coding
ENSRNOG00000013103	ENSRNOT00000079440	1387216_at	protein_coding
ENSRNOG00000013103	ENSRNOT00000083079	1387216_at	protein_coding
ENSRNOG00000013103	ENSRNOT00000088892	1387216_at	protein_coding
ENSRNOG00000013103	ENSRNOT00000092180		protein_coding
ENSRNOG00000013103	ENSRNOT00000082718	1387216_at	protein_coding
ENSRNOG00000013103	ENSRNOT00000090520		protein_coding
ENSRNOG00000022619	ENSRNOT00000030919	1367565_a_at	protein_coding
ENSRNOG00000021048	ENSRNOT00000067679		protein_coding
ENSRNOG00000024330	ENSRNOT00000029755		protein_coding
ENSRNOG00000039404	ENSRNOT00000060386		protein_coding
ENSRNOG00000006033	ENSRNOT00000008262	1370847_at	protein_coding
ENSRNOG00000013110	ENSRNOT00000017712	1377602_at	protein_coding
ENSRNOG00000017963	ENSRNOT00000024149		protein_coding
ENSRNOG00000011471	ENSRNOT00000015367	1392865_at	protein_coding
ENSRNOG00000011471	ENSRNOT00000015367	1370747_at	protein_coding
ENSRNOG00000014288	ENSRNOT00000057585	1370234_at	protein_coding
ENSRNOG00000014288	ENSRNOT00000019772	1370234_at	protein_coding
ENSRNOG00000026898	ENSRNOT00000037106		protein_coding
ENSRNOG00000042424	ENSRNOT00000067319		protein_coding
ENSRNOG00000000104	ENSRNOT00000000116	1379849_at	protein_coding
ENSRNOG00000000104	ENSRNOT00000000116	1390572_at	protein_coding
ENSRNOG00000006068	ENSRNOT00000008159	1391169_at	protein_coding
ENSRNOG00000053812	ENSRNOT00000088465	1367673_at	protein_coding
ENSRNOG00000015416	ENSRNOT00000021403	1392579_at	protein_coding
ENSRNOG00000015716	ENSRNOT00000092022	1386933_at	protein_coding
ENSRNOG00000015716	ENSRNOT00000021249	1386933_at	protein_coding
ENSRNOG00000058943	ENSRNOT00000079450	1370756_at	protein_coding
ENSRNOG00000032552	ENSRNOT00000087294		protein_coding
ENSRNOG00000032552	ENSRNOT00000037708		protein_coding
ENSRNOG00000015235	ENSRNOT00000020620	1379623_at	protein_coding
ENSRNOG00000031769	ENSRNOT00000047889	1381734_at	protein_coding
ENSRNOG00000031769	ENSRNOT00000047889	1388647_at	protein_coding
ENSRNOG00000015502	ENSRNOT00000020907		protein_coding
ENSRNOG00000009773	ENSRNOT00000012999	1377729_at	protein_coding
ENSRNOG00000017876	ENSRNOT00000024218	1369543_s_at	protein_coding
ENSRNOG00000004521	ENSRNOT00000066702		protein_coding
ENSRNOG00000014154	ENSRNOT00000048214	1371582_at	protein_coding
ENSRNOG00000014154	ENSRNOT00000077362	1371582_at	protein_coding
ENSRNOG00000045610	ENSRNOT00000044955		protein_coding
ENSRNOG00000021913	ENSRNOT00000029591		protein_coding
ENSRNOG00000002657	ENSRNOT00000090693	1387566_at	protein_coding
ENSRNOG00000002657	ENSRNOT00000003630	1387566_at	protein_coding
ENSRNOG00000021085	ENSRNOT00000028628	1380106_at	protein_coding
ENSRNOG00000021085	ENSRNOT00000028628	1398339_at	protein_coding
ENSRNOG00000021085	ENSRNOT00000044866	1380106_at	protein_coding
ENSRNOG00000021085	ENSRNOT00000044866	1398339_at	protein_coding
ENSRNOG00000013889	ENSRNOT00000018603	1388628_at	protein_coding
ENSRNOG00000054322	ENSRNOT00000092000	1393018_at	pseudogene
ENSRNOG00000060995	ENSRNOT00000071962		protein_coding
ENSRNOG00000015909	ENSRNOT00000021296		protein_coding
ENSRNOG00000026157	ENSRNOT00000030771	1373344_at	protein_coding
ENSRNOG00000013372	ENSRNOT00000017870	1384564_at	protein_coding
ENSRNOG00000017113	ENSRNOT00000024602	1399100_at	protein_coding
ENSRNOG00000017113	ENSRNOT00000024602	1385697_at	protein_coding
ENSRNOG00000017113	ENSRNOT00000091645		protein_coding
ENSRNOG00000024630	ENSRNOT00000074412	1381082_at	protein_coding
ENSRNOG00000046188	ENSRNOT00000040224		protein_coding
ENSRNOG00000016638	ENSRNOT00000041789	1367732_at	protein_coding
ENSRNOG00000011909	ENSRNOT00000016327	1389700_at	protein_coding
ENSRNOG00000011909	ENSRNOT00000016327	1384386_at	protein_coding
ENSRNOG00000058402	ENSRNOT00000072578	1398799_at	pseudogene
