AFFY.ID	Gene.ID	Gene.Type
1367703_at	ENSRNOG00000032219	protein_coding
1367704_at	ENSRNOG00000061543	protein_coding
1367705_at	ENSRNOG00000012183	protein_coding
1367706_at	ENSRNOG00000006375	protein_coding
1367707_at	ENSRNOG00000045636	protein_coding
1367708_a_at	ENSRNOG00000045636	protein_coding
1367709_at	ENSRNOG00000007650	protein_coding
1367710_at	ENSRNOG00000019246	protein_coding
1367711_at	ENSRNOG00000012026	protein_coding
1367712_at	ENSRNOG00000010208	protein_coding
1367713_at	ENSRNOG00000009432	protein_coding
1367714_at	ENSRNOG00000006467	protein_coding
1367715_at	ENSRNOG00000031312	protein_coding
1367716_at	ENSRNOG00000015843	protein_coding
1367719_at	ENSRNOG00000006816	protein_coding
1367720_at	ENSRNOG00000015206	protein_coding
1367721_at	ENSRNOG00000014297	protein_coding
1367722_at	ENSRNOG00000012640	protein_coding
1367723_a_at	ENSRNOG00000028198	protein_coding
1367724_a_at	ENSRNOG00000003269	protein_coding
1367725_at	ENSRNOG00000029698	protein_coding
1367726_at	ENSRNOG00000009066	protein_coding
1367727_at	ENSRNOG00000021051	protein_coding
1367728_at	ENSRNOG00000002319	protein_coding
1367729_at	ENSRNOG00000016807	protein_coding
1367730_at	ENSRNOG00000002301	protein_coding
1367732_at	ENSRNOG00000016638	protein_coding
1367733_at	ENSRNOG00000009629	protein_coding
1367734_at	ENSRNOG00000009513	protein_coding
1367735_at	ENSRNOG00000012966	protein_coding
1367736_at	ENSRNOG00000007051	protein_coding
1367737_at	ENSRNOG00000009325	protein_coding
1367738_at	ENSRNOG00000011060	protein_coding
1367739_at	ENSRNOG00000014656	protein_coding
1367740_at	ENSRNOG00000010872	protein_coding
1367741_at	ENSRNOG00000018796	protein_coding
1367742_at	ENSRNOG00000010438	protein_coding
1367743_at	ENSRNOG00000001214	protein_coding
1367744_at	ENSRNOG00000002449	protein_coding
1367745_at	ENSRNOG00000017737	protein_coding
1367746_a_at	ENSRNOG00000009681	protein_coding
1367747_at	ENSRNOG00000019973	protein_coding
1367748_at	ENSRNOG00000007806	protein_coding
1367749_at	ENSRNOG00000004610	protein_coding
1367750_at	ENSRNOG00000010083	protein_coding
1367751_at	ENSRNOG00000049110	protein_coding
1367752_at	ENSRNOG00000019253	protein_coding
1367753_at	ENSRNOG00000002251	protein_coding
